Nama Kabupaten / Kota,Proyeksi Jumlah UMKM,Tahun
KABUPATEN BOGOR,375048,2016
KABUPATEN SUKABUMI,269002,2016
KABUPATEN CIANJUR,250808,2016
KABUPATEN BANDUNG,353277,2016
KABUPATEN GARUT,259141,2016
KABUPATEN TASIKMALAYA,188068,2016
KABUPATEN CIAMIS,139719,2016
KABUPATEN KUNINGAN,94885,2016
KABUPATEN CIREBON,252604,2016
KABUPATEN MAJALENGKA,156841,2016
KABUPATEN SUMEDANG,116203,2016
KABUPATEN INDRAMAYU,191046,2016
KABUPATEN SUBANG,169778,2016
KABUPATEN PURWAKARTA,87246,2016
KABUPATEN KARAWANG,233606,2016
KABUPATEN BEKASI,231042,2016
KABUPATEN BANDUNG BARAT,156287,2016
KABUPATEN PANGANDARAN,60293,2016
KOTA BOGOR,86406,2016
KOTA SUKABUMI,39982,2016
KOTA BANDUNG,343938,2016
KOTA CIREBON,40224,2016
KOTA BEKASI,203056,2016
KOTA DEPOK,162388,2016
KOTA CIMAHI,56910,2016
KOTA TASIKMALAYA,91113,2016
KOTA BANJAR,25896,2016
KABUPATEN BOGOR,398253,2017
KABUPATEN SUKABUMI,285646,2017
KABUPATEN CIANJUR,266326,2017
KABUPATEN BANDUNG,375135,2017
KABUPATEN GARUT,275175,2017
KABUPATEN TASIKMALAYA,199704,2017
KABUPATEN CIAMIS,148364,2017
KABUPATEN KUNINGAN,100756,2017
KABUPATEN CIREBON,268233,2017
KABUPATEN MAJALENGKA,166545,2017
KABUPATEN SUMEDANG,123393,2017
KABUPATEN INDRAMAYU,202866,2017
KABUPATEN SUBANG,180283,2017
KABUPATEN PURWAKARTA,92644,2017
KABUPATEN KARAWANG,248060,2017
KABUPATEN BEKASI,245337,2017
KABUPATEN BANDUNG BARAT,165957,2017
KABUPATEN PANGANDARAN,64023,2017
KOTA BOGOR,91752,2017
KOTA SUKABUMI,42456,2017
KOTA BANDUNG,365218,2017
KOTA CIREBON,42713,2017
KOTA BEKASI,215620,2017
KOTA DEPOK,172435,2017
KOTA CIMAHI,60431,2017
KOTA TASIKMALAYA,96750,2017
KOTA BANJAR,27498,2017
KABUPATEN BOGOR,422894,2018
KABUPATEN SUKABUMI,303319,2018
KABUPATEN CIANJUR,282804,2018
KABUPATEN BANDUNG,398346,2018
KABUPATEN GARUT,292200,2018
KABUPATEN TASIKMALAYA,212060,2018
KABUPATEN CIAMIS,157543,2018
KABUPATEN KUNINGAN,106990,2018
KABUPATEN CIREBON,284829,2018
KABUPATEN MAJALENGKA,176850,2018
KABUPATEN SUMEDANG,131027,2018
KABUPATEN INDRAMAYU,215418,2018
KABUPATEN SUBANG,191437,2018
KABUPATEN PURWAKARTA,98376,2018
KABUPATEN KARAWANG,263408,2018
KABUPATEN BEKASI,260517,2018
KABUPATEN BANDUNG BARAT,176225,2018
KABUPATEN PANGANDARAN,67985,2018
KOTA BOGOR,97429,2018
KOTA SUKABUMI,45083,2018
KOTA BANDUNG,387815,2018
KOTA CIREBON,45355,2018
KOTA BEKASI,228960,2018
KOTA DEPOK,183104,2018
KOTA CIMAHI,64170,2018
KOTA TASIKMALAYA,102737,2018
KOTA BANJAR,29200,2018
KABUPATEN BOGOR,449059,2019
KABUPATEN SUKABUMI,322086,2019
KABUPATEN CIANJUR,300302,2019
KABUPATEN BANDUNG,422992,2019
KABUPATEN GARUT,310279,2019
KABUPATEN TASIKMALAYA,225181,2019
KABUPATEN CIAMIS,167291,2019
KABUPATEN KUNINGAN,113609,2019
KABUPATEN CIREBON,302452,2019
KABUPATEN MAJALENGKA,187792,2019
KABUPATEN SUMEDANG,139134,2019
KABUPATEN INDRAMAYU,228747,2019
KABUPATEN SUBANG,203282,2019
KABUPATEN PURWAKARTA,104463,2019
KABUPATEN KARAWANG,279705,2019
KABUPATEN BEKASI,276635,2019
KABUPATEN BANDUNG BARAT,187128,2019
KABUPATEN PANGANDARAN,72191,2019
KOTA BOGOR,103457,2019
KOTA SUKABUMI,47872,2019
KOTA BANDUNG,411810,2019
KOTA CIREBON,48162,2019
KOTA BEKASI,243127,2019
KOTA DEPOK,194433,2019
KOTA CIMAHI,68141,2019
KOTA TASIKMALAYA,109093,2019
KOTA BANJAR,31006,2019
KABUPATEN BOGOR,476844,2020
KABUPATEN SUKABUMI,342015,2020
KABUPATEN CIANJUR,318882,2020
KABUPATEN BANDUNG,449164,2020
KABUPATEN GARUT,329477,2020
KABUPATEN TASIKMALAYA,239114,2020
KABUPATEN CIAMIS,177642,2020
KABUPATEN KUNINGAN,120639,2020
KABUPATEN CIREBON,321166,2020
KABUPATEN MAJALENGKA,199411,2020
KABUPATEN SUMEDANG,147743,2020
KABUPATEN INDRAMAYU,242900,2020
KABUPATEN SUBANG,215859,2020
KABUPATEN PURWAKARTA,110926,2020
KABUPATEN KARAWANG,297011,2020
KABUPATEN BEKASI,293752,2020
